行番号	タイトル	配信日	枠名	曲数	長さ	URL
00001	HOT LIMIT - T.M.Revolution	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00002	ミュージック・アワー - ポルノグラフィティ	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00003	夏祭り - Whiteberry	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00004	キラキラ	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00005	風になる - つじあやの	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00006	愛を伝えたいだとか - あいみょん	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00007	ただ君に晴れ	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00008	千本桜 - 黒うさP	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00009	三原色	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00010	secret base ～君がくれたもの～	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00011	HOT LIMIT - T.M.Revolution	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00012	ミュージック・アワー - ポルノグラフィティ	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00013	君がくれたもの	2021/08/01	【初めての歌枠】8月がやってきたわね【新人VTuber】	13	01:15:23	https://www.youtube.com/watch?v=fmqtl-P-_YY
00014	天ノ弱 - 164	2021/08/02	【歌枠】今日も歌っちゃお～【羽澄さひろ/新人VTuber】	8	01:11:54	https://www.youtube.com/watch?v=CJgGd1OhySI
00015	からくりピエロ	2021/08/02	【歌枠】今日も歌っちゃお～【羽澄さひろ/新人VTuber】	8	01:11:54	https://www.youtube.com/watch?v=CJgGd1OhySI
00016	シャルル	2021/08/02	【歌枠】今日も歌っちゃお～【羽澄さひろ/新人VTuber】	8	01:11:54	https://www.youtube.com/watch?v=CJgGd1OhySI
00017	創聖のアクエリオン	2021/08/02	【歌枠】今日も歌っちゃお～【羽澄さひろ/新人VTuber】	8	01:11:54	https://www.youtube.com/watch?v=CJgGd1OhySI
00018	コネクト	2021/08/02	【歌枠】今日も歌っちゃお～【羽澄さひろ/新人VTuber】	8	01:11:54	https://www.youtube.com/watch?v=CJgGd1OhySI
00019	星間飛行 (キラッ )	2021/08/02	【歌枠】今日も歌っちゃお～【羽澄さひろ/新人VTuber】	8	01:11:54	https://www.youtube.com/watch?v=CJgGd1OhySI
00020	Only my Railgun	2021/08/02	【歌枠】今日も歌っちゃお～【羽澄さひろ/新人VTuber】	8	01:11:54	https://www.youtube.com/watch?v=CJgGd1OhySI
00021	丸の内サディスティック - 椎名林檎	2021/08/02	【歌枠】今日も歌っちゃお～【羽澄さひろ/新人VTuber】	8	01:11:54	https://www.youtube.com/watch?v=CJgGd1OhySI
00022	命ばっかり - ぬゆり	2021/08/23	【1ヶ月記念】ボカロ縛りで歌うよ～！【羽澄さひろ/新人VTuber】	14	01:50:58	https://www.youtube.com/watch?v=CaxLs6iaCJE
00023	いーあるふぁんくらぶ	2021/08/23	【1ヶ月記念】ボカロ縛りで歌うよ～！【羽澄さひろ/新人VTuber】	14	01:50:58	https://www.youtube.com/watch?v=CaxLs6iaCJE
00024	心臓デモクラシー	2021/08/23	【1ヶ月記念】ボカロ縛りで歌うよ～！【羽澄さひろ/新人VTuber】	14	01:50:58	https://www.youtube.com/watch?v=CaxLs6iaCJE
00025	小夜子 - みきとP	2021/08/23	【1ヶ月記念】ボカロ縛りで歌うよ～！【羽澄さひろ/新人VTuber】	14	01:50:58	https://www.youtube.com/watch?v=CaxLs6iaCJE
00026	メルト - ryo(supercell)	2021/08/23	【1ヶ月記念】ボカロ縛りで歌うよ～！【羽澄さひろ/新人VTuber】	14	01:50:58	https://www.youtube.com/watch?v=CaxLs6iaCJE
00027	ドレミファロンド(Piano Ver.) - 40㍍P	2021/08/23	【1ヶ月記念】ボカロ縛りで歌うよ～！【羽澄さひろ/新人VTuber】	14	01:50:58	https://www.youtube.com/watch?v=CaxLs6iaCJE
00028	純情スカート - 40㍍P	2021/08/23	【1ヶ月記念】ボカロ縛りで歌うよ～！【羽澄さひろ/新人VTuber】	14	01:50:58	https://www.youtube.com/watch?v=CaxLs6iaCJE
00029	右肩の蝶 - 水野悠良・のりP(リンver.)	2021/08/23	【1ヶ月記念】ボカロ縛りで歌うよ～！【羽澄さひろ/新人VTuber】	14	01:50:58	https://www.youtube.com/watch?v=CaxLs6iaCJE
